Bauperiode,Bezirk,Adresse
nach 1945,21,Schillgasse 13
1848 -1918,21,Mengergasse 22 - 24
1848 -1918,21,Mengergasse 23
1919 - 1945,21,Freytaggasse 2 - 14 / 27
1919 - 1945,21,Freytaggasse 2 - 14 / 28
1919 - 1945,21,Freytaggasse 2 - 14 / 26
1919 - 1945,21,Freytaggasse 2 - 14 / 24
nach 1945,21,Mengergasse 25
1848 -1918,21,Gerstlgasse 22
1848 -1918,21,Mengergasse 26
nach 1945,21,Schillgasse 18
nach 1945,21,Schillgasse 16
nach 1945,21,Schillgasse 15 - 17 / 2
nach 1945,21,Schillgasse 15 - 17 / 5
nach 1945,21,Schillgasse 15 - 17 / 1
nach 1945,21,Schillgasse 15 - 17 / 4
nach 1945,21,Schillgasse 15 - 17 / 3
1848 -1918,21,Mengergasse 27
nach 1945,21,Gerstlgasse 21
nach 1945,21,Gerstlgasse 17 / 2
1848 -1918,21,Gerstlgasse 3
nach 1945,21,Gerstlgasse 2 / 2
nach 1945,21,Gerstlgasse 2 / 5
nach 1945,21,Gerstlgasse 2 / 3
nach 1945,21,Gerstlgasse 2 / 4
nach 1945,21,Gerstlgasse 2 / 6
nach 1945,21,Gerstlgasse 2 / 1
1848 -1918,21,Gerstlgasse 1
Keine Angabe,21,Voltagasse G
1848 -1918,21,Voltagasse 75 / 1
1848 -1918,21,Voltagasse 75 / 2
1848 -1918,21,Voltagasse 73
1848 -1918,21,Voltagasse 71
1848 -1918,21,Gerstlgasse 4
1848 -1918,21,Gerstlgasse 5
1848 -1918,21,Mengergasse 29
1919 - 1945,21,Freytaggasse 2 - 14 / 20
nach 1945,21,Gerstlgasse 17 / 1
1848 -1918,21,Gerstlgasse 16
1848 -1918,21,Gerstlgasse 15
1848 -1918,21,Gerstlgasse 14
nach 1945,21,Gerstlgasse 13
1848 -1918,21,Gerstlgasse 12
1848 -1918,21,Gerstlgasse 18
nach 1945,21,Gerstlgasse 10
1848 -1918,21,Gerstlgasse 7
1848 -1918,21,Gerstlgasse 6
1848 -1918,21,Mengergasse 28
1919 - 1945,21,Freytaggasse 2 - 14 / 25
1919 - 1945,21,Freytaggasse 2 - 14 / 21
1919 - 1945,21,Freytaggasse 2 - 14 / 19
nach 1945,21,Gerstlgasse 8
Keine Angabe,21,Freytaggasse 28
nach 1945,21,Voltagasse 43 / 21
nach 1945,21,Voltagasse 43 / 22
1919 - 1945,21,Voltagasse 28 - 38 / 11
1919 - 1945,21,Voltagasse 28 - 38 / 10
1919 - 1945,21,Voltagasse 28 - 38 / 9
1919 - 1945,21,Voltagasse 28 - 38 / 8
1919 - 1945,21,Voltagasse 28 - 38 / 14
1919 - 1945,21,Voltagasse 28 - 38 / 13
1919 - 1945,21,Voltagasse 28 - 38 / 12
1919 - 1945,21,Voltagasse 28 - 38 / 19
1919 - 1945,21,Voltagasse 28 - 38 / 18
1919 - 1945,21,Voltagasse 28 - 38 / 6
1919 - 1945,21,Voltagasse 28 - 38 / 1
1848 -1918,21,Deublergasse 48
nach 1945,21,Deublergasse 46
nach 1945,21,Deublergasse 44
1919 - 1945,21,Voltagasse 28 - 38 / 5
1919 - 1945,21,Voltagasse 28 - 38 / 7
1919 - 1945,21,Voltagasse 28 - 38 / 2
1919 - 1945,21,Voltagasse 28 - 38 / 3
nach 1945,21,Voltagasse 43 / 11
nach 1945,21,Voltagasse 43 / 10
nach 1945,21,Voltagasse 43 / 9
nach 1945,21,Voltagasse 43 / 8
nach 1945,21,Voltagasse 43 / 24
nach 1945,21,Voltagasse 43 / 23
nach 1945,21,Voltagasse 43 / 13
1848 -1918,21,Deublergasse 42
nach 1945,21,Voltagasse 42
1919 - 1945,21,Voltagasse 28 - 38 / 17
1919 - 1945,21,Voltagasse 28 - 38 / 16
1919 - 1945,21,Voltagasse 28 - 38 / 15
1919 - 1945,21,Voltagasse 28 - 38 / 21
1919 - 1945,21,Voltagasse 28 - 38 / 20
1919 - 1945,21,Voltagasse 28 - 38 / 4
1848 -1918,21,Voltagasse 40
nach 1945,21,Voltagasse 43 / 12
1848 -1918,21,Deublergasse 37
nach 1945,21,Ostmarkgasse 63 / 1
nach 1945,21,Siegfriedgasse 4
nach 1945,21,Siegfriedgasse 8 / 1
1848 -1918,21,Deublergasse 9
1848 -1918,21,Deublergasse 6
nach 1945,21,Deublergasse 5
nach 1945,21,Deublergasse 3
nach 1945,21,Deublergasse 1
1946-1976,21,Kalsergasse 29
1884-1918,21,Hufgasse 21
nach 1945,21,Ostmarkgasse 63 / 2
nach 1945,21,Ostmarkgasse 59 - 61
1848 -1918,21,Deublergasse 13
1848 -1918,21,Deublergasse 15
vor 1848,21,Deublergasse 36
1848 -1918,21,Deublergasse 35
1848 -1918,21,Deublergasse 34
1848 -1918,21,Deublergasse 33
1848 -1918,21,Deublergasse 32
1848 -1918,21,Deublergasse 31
nach 1945,21,Deublergasse 38
1848 -1918,21,Deublergasse 29
1919 - 1945,21,Deublergasse 26
1848 -1918,21,Deublergasse 25
1848 -1918,21,Deublergasse 23
1848 -1918,21,Deublergasse 19 - 21
nach 1945,21,Deublergasse 18
1848 -1918,21,Deublergasse 17
1919 - 1945,21,Deublergasse 16
1848 -1918,21,Deublergasse 27
nach 1945,21,Voltagasse 43 / 20
nach 1945,21,Voltagasse 43 / 34
1919-1945,21,Carrogasse 1 - 5 / 12
nach 1945,21,Voltagasse 43 / 30
Keine Angabe,21,Schichtweg 119
nach 1945,21,Ostmarkgasse 16
1848 -1918,21,Ostmarkgasse 17
1848 -1918,21,Ostmarkgasse 18
nach 1945,21,Ostmarkgasse 19
1848 -1918,21,Ostmarkgasse 20
nach 1945,21,Ostmarkgasse 21 - 23 / 1
nach 1945,21,Ostmarkgasse 21 - 23 / 2
1848 -1918,21,Ostmarkgasse 22
nach 1945,21,Ostmarkgasse 24
nach 1945,21,Ostmarkgasse 26
1919-1945,21,Carrogasse 1 - 5 / 7
nach 1945,21,Voltagasse 43 / 31
1946-1976,21,Josef-Ruston-Gasse 24 / 1
nach 1945,21,Voltagasse 43 / 32
1848 -1918,21,Freytaggasse 30
nach 1945,21,Freytaggasse 32
1946-1976,21,Morelligasse 1 - 3 / 1
1848 -1918,21,Freiligrathplatz 5
1848 -1918,21,Ostmarkgasse 28
nach 1945,21,Freiligrathplatz 6 / 2
nach 1945,21,Fännergasse 1
Keine Angabe,21,Fännergasse 4
1884-1918,21,Äugelgasse 6
1884-1918,21,Äugelgasse 12
nach 1945,21,Freiligrathplatz 6 / 1
nach 1945,21,Voltagasse 43 / 33
1848 -1918,21,Ostmarkgasse 30
nach 1945,21,Ostmarkgasse 33 / 1
nach 1945,21,Ostmarkgasse 48 / 1
nach 1945,21,Ostmarkgasse 49 / 2
nach 1945,21,Ostmarkgasse 50 / 5
nach 1945,21,Ostmarkgasse 52 / 6
nach 1945,21,Ostmarkgasse 53
nach 1945,21,Ostmarkgasse 54 / 7
1848 -1918,21,Ostmarkgasse 55
nach 1945,21,Ostmarkgasse 57
nach 1945,21,Voltagasse 43 / 29
nach 1945,21,Voltagasse 43 / 28
nach 1945,21,Voltagasse 43 / 27
nach 1945,21,Voltagasse 43 / 26
nach 1945,21,Voltagasse 43 / 25
nach 1945,21,Voltagasse 43 / 35
nach 1945,21,Ostmarkgasse 48 / 2
nach 1945,21,Ostmarkgasse 48 / 4
nach 1945,21,Ostmarkgasse 48 / 5
nach 1945,21,Ostmarkgasse 48 / 6
nach 1945,21,Ostmarkgasse 33 / 4
nach 1945,21,Ostmarkgasse 33 / 2
nach 1945,21,Ostmarkgasse 33 / 3
1848 -1918,21,Ostmarkgasse 34 - 36 / 2
1848 -1918,21,Ostmarkgasse 34 - 36 / 1
1848 -1918,21,Ostmarkgasse 38
1848 -1918,21,Ostmarkgasse 39 A
1848 -1918,21,Ostmarkgasse 31
Keine Angabe,21,Ostmarkgasse 39
1848 -1918,21,Ostmarkgasse 42
1848 -1918,21,Ostmarkgasse 43
1848 -1918,21,Ostmarkgasse 45
nach 1945,21,Ostmarkgasse 46
1848 -1918,21,Ostmarkgasse 47
nach 1945,21,Ostmarkgasse 48 / 3
1848 -1918,21,Ostmarkgasse 40
1848 -1918,21,Mengergasse 21
nach 1945,21,Mengergasse 19
nach 1945,21,Mengergasse 18
nach 1945,21,Jeneweingasse 13 - 15 / 3
nach 1945,21,Jeneweingasse 13 - 15 / 1
nach 1945,21,Jeneweingasse 13 - 15 / 2
nach 1945,21,Jeneweingasse 11
nach 1945,21,Jeneweingasse 10
1919-1945,21,Freytaggasse 1 - 9 / 11
1919-1945,21,Freytaggasse 1 - 9 / 14
1919-1945,21,Freytaggasse 1 - 9 / 1
1919 - 1945,21,Freytaggasse 2 - 14 / 29
1919 - 1945,21,Freytaggasse 2 - 14 / 1
1919 - 1945,21,Freytaggasse 2 - 14 / 16
1919 - 1945,21,Freytaggasse 2 - 14 / 4
nach 1945,21,Jeneweingasse 13 - 15 / 4
nach 1945,21,Jeneweingasse 14
1848 -1918,21,Jeneweingasse 16
vor 1848,21,Jeneweingasse 17
nach 1945,21,Josef-Flandorfer-Straße 102
1946-1976,21,Johann-Weber-Straße 61
nach 1945,21,Clessgasse 1
1919 - 1945,21,Hermann-Bahr-Straße 10 / 1
1919 - 1945,21,Hermann-Bahr-Straße 10 / 2
1919 - 1945,21,Freytaggasse 2 - 14 / 3
1919 - 1945,21,Hermann-Bahr-Straße 12
nach 1945,21,Hermann-Bahr-Straße 16
1848 -1918,21,Hermann-Bahr-Straße 18
nach 1945,21,Jeneweingasse 19 / 3
nach 1945,21,Jeneweingasse 19 / 2
1848 -1918,21,Hermann-Bahr-Straße 20
1848 -1918,21,Jeneweingasse 18
1848 -1918,21,Hermann-Bahr-Straße 14
nach 1945,21,Jeneweingasse 19 / 1
1919 - 1945,21,Freytaggasse 2 - 14 / 2
1919 - 1945,21,Freytaggasse 2 - 14 / 6
nach 1945,21,Clessgasse 23
nach 1945,21,Clessgasse 24
nach 1945,21,Clessgasse 25
1848 -1918,21,Clessgasse 27
nach 1945,21,Clessgasse 28
nach 1945,21,Clessgasse 29
vor 1848,21,Clessgasse 31
nach 1945,21,Clessgasse 32
nach 1945,21,Clessgasse 36
Keine Angabe,21,Clessgasse 37
nach 1945,21,Clessgasse 41
1848 -1918,21,Clessgasse 43
nach 1945,21,Clessgasse 45
nach 1945,21,Clessgasse 47
nach 1945,21,Clessgasse 22
1848 -1918,21,Clessgasse 21
nach 1945,21,Clessgasse 20
1848 -1918,21,Clessgasse 18
1919 - 1945,21,Freytaggasse 2 - 14 / 34
1919 - 1945,21,Freytaggasse 2 - 14 / 35
1919 - 1945,21,Freytaggasse 2 - 14 / 32
1919 - 1945,21,Freytaggasse 2 - 14 / 33
1919 - 1945,21,Freytaggasse 2 - 14 / 30
1919 - 1945,21,Freytaggasse 2 - 14 / 31
nach 1945,21,Clessgasse 3
1919 - 1945,21,Freytaggasse 2 - 14 / 7
nach 1945,21,Clessgasse 8
1848 -1918,21,Clessgasse 11
1919 - 1945,21,Clessgasse 12
1848 -1918,21,Clessgasse 13
1848 -1918,21,Clessgasse 14
vor 1848,21,Clessgasse 15
1848 -1918,21,Clessgasse 16
vor 1848,21,Clessgasse 17
nach 1945,21,Clessgasse 10
1848 -1918,21,Clessgasse 55 - 55 - A
nach 1945,21,Josef-Flandorfer-Straße 96
Keine Angabe,21,Josef-Flandorfer-Straße 49
nach 1945,21,Jeneweingasse 27 / 8
nach 1945,21,Jeneweingasse 27 / 12
nach 1945,21,Jeneweingasse 27 / 13
1848 -1918,21,Jeneweingasse 26
1884-1918,21,Ruthnergasse 42
1848 -1918,21,Josef-Flandorfer-Straße 94
vor 1848,21,Jeneweingasse 23
1884-1918,21,Shuttleworthstraße 6 - 8
nach 1945,21,Haspingerplatz 1
nach 1945,21,Haspingerplatz 7
nach 1945,21,Haspingerplatz 8
nach 1945,21,Haspingerplatz 9
Nach 1976,21,Mitterhofergasse 2
1884-1918,21,Ödenburger Straße 146
1884-1918,21,Schuchardtstraße 2
1884-1918,21,Schuchardtstraße 22
nach 1945,21,Pius-Parsch-Platz 12
nach 1945,21,Pius-Parsch-Platz 11
nach 1945,21,Pius-Parsch-Platz 10
nach 1945,21,Pius-Parsch-Platz 9
1848 -1918,21,Jeneweingasse 21
nach 1945,21,Jeneweingasse 20
1848 -1918,21,Hermann-Bahr-Straße 2
1848 -1918,21,Hermann-Bahr-Straße 3
nach 1945,21,Hermann-Bahr-Straße 4
1848 -1918,21,Hermann-Bahr-Straße 6
vor 1848,21,Jeneweingasse 25
nach 1945,21,Hermann-Bahr-Straße 7
1848 -1918,21,Hermann-Bahr-Straße 8 / 2
nach 1945,21,Pius-Parsch-Platz 2
1919 - 1945,21,Pius-Parsch-Platz 3 K
nach 1945,21,Pius-Parsch-Platz 3
nach 1945,21,Pius-Parsch-Platz 7
nach 1945,21,Pius-Parsch-Platz 8
1848 -1918,21,Hermann-Bahr-Straße 8 / 1
1919-1945,21,Scheydgasse 15 / 7
1848 -1918,21,Clessgasse 57
vor 1848,21,Clessgasse 65
1848 -1918,21,Peter-Kaiser-Gasse 23
1848 -1918,21,Peter-Kaiser-Gasse 20
nach 1945,21,Peter-Kaiser-Gasse 19
1848 -1918,21,Peter-Kaiser-Gasse 18
nach 1945,21,Peter-Kaiser-Gasse 17
1848 -1918,21,Peter-Kaiser-Gasse 15
nach 1945,21,Peter-Kaiser-Gasse 13 / 2
nach 1945,21,Peter-Kaiser-Gasse 13 / 1
nach 1945,21,Peter-Kaiser-Gasse 13 / 3
1919 - 1945,21,Peter-Kaiser-Gasse 12
nach 1945,21,Peter-Kaiser-Gasse 11
1848 -1918,21,Peter-Kaiser-Gasse 10
1848 -1918,21,Peter-Kaiser-Gasse 9
1848 -1918,21,Peter-Kaiser-Gasse 8
nach 1945,21,Peter-Kaiser-Gasse 7 / 1
1848 -1918,21,Peter-Kaiser-Gasse 25
nach 1945,21,Anton-Dengler-Gasse 6
nach 1945,21,Helmholtzgasse 19
1848 -1918,21,Helmholtzgasse 18
1848 -1918,21,Helmholtzgasse 16
1919 - 1945,21,Helmholtzgasse 14
1848 -1918,21,Helmholtzgasse 10
nach 1945,21,Anton-Dengler-Gasse 22
nach 1945,21,Peter-Kaiser-Gasse 7 / 2
nach 1945,21,Anton-Dengler-Gasse 20
1848 -1918,21,Anton-Dengler-Gasse 15
1848 -1918,21,Anton-Dengler-Gasse 14
1848 -1918,21,Anton-Dengler-Gasse 13
nach 1945,21,Anton-Dengler-Gasse 12
1848 -1918,21,Anton-Dengler-Gasse 11
1848 -1918,21,Anton-Dengler-Gasse 10
1848 -1918,21,Anton-Dengler-Gasse 8
1848 -1918,21,Anton-Dengler-Gasse 18
1848 -1918,21,Helmholtzgasse 21
nach 1945,21,Peter-Kaiser-Gasse 6 / 1
1848 -1918,21,Peter-Kaiser-Gasse 4
nach 1945,21,Mengergasse 5
nach 1945,21,Mengergasse 6
nach 1945,21,Mengergasse 7 / 1
nach 1945,21,Mengergasse 7 / 2
nach 1945,21,Mengergasse 8
1848 -1918,21,Mengergasse 9
1848 -1918,21,Mengergasse 10
1848 -1918,21,Mengergasse 11
1848 -1918,21,Mengergasse 12
1848 -1918,21,Mengergasse 13
1848 -1918,21,Mengergasse 14
nach 1945,21,Mengergasse 15
1848 -1918,21,Mengergasse 16
1848 -1918,21,Mengergasse 17 / 2
1848 -1918,21,Mengergasse 17 / 1
nach 1945,21,Mengergasse 4
nach 1945,21,Mengergasse 3
Keine Angabe,21,Gerasdorfer Straße 230
1848 -1918,21,Peter-Kaiser-Gasse 2
nach 1945,21,Schillgasse 32
1848 -1918,21,Schillgasse 31
nach 1945,21,Schillgasse 30
1848 -1918,21,Schillgasse 29
nach 1945,21,Peter-Kaiser-Gasse 6 / 2
nach 1945,21,Schillgasse 28
nach 1945,21,Schillgasse 24 - 26
1848 -1918,21,Schillgasse 22
Keine Angabe,21,Gerasdorfer Straße 7
nach 1945,21,Gerasdorfer Straße 10
nach 1945,21,Gerasdorfer Straße 12
Nach 1976,21,Gerasdorfer Straße 61
nach 1945,21,Schillgasse 27
vor 1848,21,Clessgasse 63
1919 - 1945,21,O'Brien-Gasse 25 / 1
1919 - 1945,21,O'Brien-Gasse 27 / 2
1848 -1918,21,Clessgasse 95
1848 -1918,21,Clessgasse 97
1848 -1918,21,Clessgasse 99
1848 -1918,21,Clessgasse 101 A
1848 -1918,21,Clessgasse 101
nach 1945,21,Clessgasse 102
nach 1945,21,Clessgasse 105
nach 1945,21,Clessgasse 107
nach 1945,21,Clessgasse 112
vor 1848,21,Clessgasse 119
1848 -1918,21,Clessgasse 121
1848 -1918,21,Clessgasse 123
1848 -1918,21,Clessgasse 125
1848 -1918,21,Clessgasse 127
1848 -1918,21,Clessgasse 93
1848 -1918,21,Clessgasse 91
nach 1945,21,Clessgasse 90
1848 -1918,21,Clessgasse 89
nach 1945,21,Clessgasse 66
1848 -1918,21,Clessgasse 67
1848 -1918,21,Clessgasse 69
1848 -1918,21,Clessgasse 69 A
nach 1945,21,Clessgasse 71
nach 1945,21,Clessgasse 73
nach 1945,21,Clessgasse 74
nach 1945,21,Clessgasse 127 A
nach 1945,21,Clessgasse 75
nach 1945,21,Clessgasse 76
vor 1848,21,Clessgasse 77
nach 1945,21,Clessgasse 79
1848 -1918,21,Clessgasse 81
nach 1945,21,Clessgasse 83
1848 -1918,21,Clessgasse 85
1848 -1918,21,Clessgasse 87
1848 -1918,21,Clessgasse 129
1848 -1918,21,Clessgasse 133
Keine Angabe,21,Ohmgasse 5 / 52
1848 -1918,21,Erbpostgasse 2
1848 -1918,21,Erbpostgasse 3
nach 1945,21,Erbpostgasse 5
1919 - 1945,21,Erbpostgasse 6
1848 -1918,21,Erbpostgasse 7
1848 -1918,21,Erbpostgasse 8
1848 -1918,21,Erbpostgasse 9
1848 -1918,21,Erbpostgasse 11
nach 1945,21,Erbpostgasse 13
1848 -1918,21,Erbpostgasse 15
nach 1945,21,Erbpostgasse 17
nach 1945,21,Erbpostgasse 20
1884-1918,21,Hochfeldstraße 32
1884-1918,21,Reisgasse 1
1848 -1918,21,Jeneweingasse 1
Keine Angabe,21,Kainachgasse 10
1848 -1918,21,Jeneweingasse 9
Keine Angabe,21,Dahliengasse 24
nach 1945,21,Jeneweingasse 8
1848 -1918,21,Ocwirkgasse 36
1919 - 1945,21,Clessgasse 131
vor 1848,21,Erbpostgasse 1
nach 1945,21,Jeneweingasse 7
1848 -1918,21,Jeneweingasse 6
1848 -1918,21,Jeneweingasse 5
1848 -1918,21,Jeneweingasse 4
1848 -1918,21,Jeneweingasse 3
1848 -1918,21,Jeneweingasse 2
1848 -1918,21,Plankenbüchlergasse 12
nach 1945,21,Andreas-Hofer-Straße 2 - 4 / 2
nach 1945,21,An der oberen Alten Donau 3 - 11 / 9
nach 1945,21,An der oberen Alten Donau 3 - 11 / 8
nach 1945,21,Andreas-Hofer-Straße 2 - 4 / 1
1919 - 1945,21,Fultonstraße 5 - 11 / 9
1919 - 1945,21,Fultonstraße 5 - 11 / 8
nach 1945,21,Donaufelder Straße 2 / 1
nach 1945,21,Donaufelder Straße 2 / 2
Keine Angabe,21,Donaufelder Straße 5
nach 1945,21,Donaufelder Straße 6
nach 1945,21,Donaufelder Straße 7 - 9 / 2
nach 1945,21,Donaufelder Straße 7 - 9 / 1
nach 1945,21,Donaufelder Straße 8 / 2
nach 1945,21,Donaufelder Straße 8 / 1
nach 1945,21,Donaufelder Straße 10 / 1
nach 1945,21,Donaufelder Straße 10 / 2
nach 1945,21,Donaufelder Straße 11
1848 -1918,21,Donaufelder Straße 12
1848 -1918,21,Donaufelder Straße 13
1848 -1918,21,Donaufelder Straße 14
1848 -1918,21,Donaufelder Straße 15
1848 -1918,21,Donaufelder Straße 16
1848 -1918,21,Donaufelder Straße 17
1848 -1918,21,Donaufelder Straße 18
nach 1945,21,An der oberen Alten Donau 3 - 11 / 10
1848 -1918,21,An der oberen Alten Donau 15
1848 -1918,21,An der oberen Alten Donau 17
1848 -1918,21,An der oberen Alten Donau 19
nach 1945,21,Ferdinand-Pölz-Gasse 2 - 4 / 4
1848 -1918,21,Wannemachergasse 6
1848 -1918,21,Wannemachergasse 4
nach 1945,21,Wannemachergasse 3
1946-1976,21,Wankläckergasse 2 / 1
Keine Angabe,21,Mallygasse 9
Keine Angabe,21,Meyerbeergasse 31
1848 -1918,21,Donaufelder Straße 19
1946-1976,21,Pastorstraße 14 / 1
nach 1945,21,Mühlschüttelgasse 37 / 5
nach 1945,21,Mühlschüttelgasse 37 / 2
nach 1945,21,Mühlschüttelgasse 37 / 1
nach 1945,21,Mühlschüttelgasse 37 / 3
nach 1945,21,Mühlschüttelgasse 35 / 3
nach 1945,21,Mühlschüttelgasse 35 / 1
nach 1945,21,Mühlschüttelgasse 35 / 2
1919 - 1945,21,An der oberen Alten Donau 69
nach 1945,21,An der oberen Alten Donau 23 / 2
nach 1945,21,An der oberen Alten Donau 23 / 1
1848 -1918,21,An der oberen Alten Donau 21
nach 1945,21,Donaufelder Straße 20
nach 1945,21,Donaufelder Straße 21
1848 -1918,21,Donaufelder Straße 45
nach 1945,21,Donaufelder Straße 47
nach 1945,21,Donaufelder Straße 49
1848 -1918,21,Donaufelder Straße 51
Keine Angabe,21,Donaufelder Straße 53
1848 -1918,21,Donaufelder Straße 55
nach 1945,21,Donaufelder Straße 57 / 1
nach 1945,21,Donaufelder Straße 57 / 2
1884-1918,21,Donaufelder Straße 58
nach 1945,21,Donaufelder Straße 59 / 2
nach 1945,21,Donaufelder Straße 59 / 1
1919 - 1945,21,Donaufelder Straße 44 / 2
nach 1945,21,Donaufelder Straße 61 / 2
1848 -1918,21,Donaufelder Straße 63
1946-1976,21,Donaufelder Straße 65 / 1
nach 1945,21,Julius-Schlegel-Gasse 5
1919 - 1945,21,Julius-Schlegel-Gasse 4
nach 1945,21,Steinbügelweg 77
1848 -1918,21,Steinbügelweg 75
nach 1945,21,Steinbügelweg 73
1848 -1918,21,Steinbügelweg 71
1848 -1918,21,Steinbügelweg 69
1848 -1918,21,Steinbügelweg 67
1884-1918,21,Berzeliusplatz 1 / 1
nach 1945,21,Donaufelder Straße 61 / 1
nach 1945,21,Ferdinand-Pölz-Gasse 2 - 4 / 5
1919 - 1945,21,Donaufelder Straße 44 / 3
1919 - 1945,21,Donaufelder Straße 44 / 5
nach 1945,21,Donaufelder Straße 22 / 1
nach 1945,21,Donaufelder Straße 23 - 25
1848 -1918,21,Donaufelder Straße 26
1848 -1918,21,Donaufelder Straße 27
1848 -1918,21,Donaufelder Straße 28
1848 -1918,21,Donaufelder Straße 30
1848 -1918,21,Donaufelder Straße 32
1848 -1918,21,Donaufelder Straße 33
1848 -1918,21,Donaufelder Straße 34
1848 -1918,21,Donaufelder Straße 35
nach 1945,21,Donaufelder Straße 36 / 1
nach 1945,21,Donaufelder Straße 36 / 2
1919 - 1945,21,Donaufelder Straße 44 / 4
1848 -1918,21,Donaufelder Straße 37
nach 1945,21,Donaufelder Straße 38 / 4
nach 1945,21,Donaufelder Straße 38 / 3
nach 1945,21,Donaufelder Straße 38 / 2
1848 -1918,21,Donaufelder Straße 39
nach 1945,21,Donaufelder Straße 40 - 42 / 2
nach 1945,21,Donaufelder Straße 40 - 42 / 1
1848 -1918,21,Donaufelder Straße 41
1848 -1918,21,Donaufelder Straße 43
1919 - 1945,21,Donaufelder Straße 44 / 7
1919 - 1945,21,Donaufelder Straße 44 / 1
1919 - 1945,21,Donaufelder Straße 44 / 6
nach 1945,21,Donaufelder Straße 38 / 1
nach 1945,21,Ferdinand-Pölz-Gasse 6
nach 1945,21,Ferdinand-Pölz-Gasse 10
1848 -1918,21,Hagenbrunner Straße 43
1848 -1918,21,Hagenbrunner Straße 44
1848 -1918,21,Hagenbrunner Straße 45
1848 -1918,21,Hagenbrunner Straße 46
vor 1848,21,Hagenbrunner Straße 48
vor 1848,21,Hagenbrunner Straße 50
1848 -1918,21,Hagenbrunner Straße 52
nach 1945,21,Hagenbrunner Straße 54
1848 -1918,21,Hagenbrunner Straße 56
nach 1945,21,Hagenbrunner Straße 58
Keine Angabe,21,Frauenstiftgasse 2
Keine Angabe,21,Frauenstiftgasse 3
1848 -1918,21,Frauenstiftgasse 4
1848 -1918,21,Frauenstiftgasse 5
nach 1945,21,Frauenstiftgasse 6
1848 -1918,21,Frauenstiftgasse 7
nach 1945,21,Frauenstiftgasse 8
nach 1945,21,Kammelweg 5 / 5
nach 1945,21,Kammelweg 5 / 4
nach 1945,21,Kammelweg 5 / 8
nach 1945,21,Kammelweg 5 / 9
nach 1945,21,Kammelweg 5 / 6
1848 -1918,21,Hagenbrunner Straße 42
1848 -1918,21,Hagenbrunner Straße 41
1848 -1918,21,Hagenbrunner Straße 40
vor 1848,21,Hagenbrunner Straße 39
vor 1848,21,Hagenbrunner Straße 13
1848 -1918,21,Hagenbrunner Straße 14
1848 -1918,21,Hagenbrunner Straße 15
vor 1848,21,Hagenbrunner Straße 16
vor 1848,21,Hagenbrunner Straße 17
nach 1945,21,Hagenbrunner Straße 18
1848 -1918,21,Hagenbrunner Straße 19
1848 -1918,21,Hagenbrunner Straße 20
1848 -1918,21,Hagenbrunner Straße 21
vor 1848,21,Hagenbrunner Straße 22 A
1848 -1918,21,Hagenbrunner Straße 23
1848 -1918,21,Hagenbrunner Straße 25
nach 1945,21,Kammelweg 5 / 7
1848 -1918,21,Hagenbrunner Straße 27
vor 1848,21,Hagenbrunner Straße 29
vor 1848,21,Hagenbrunner Straße 30
1848 -1918,21,Hagenbrunner Straße 30 A
1848 -1918,21,Hagenbrunner Straße 31
vor 1848,21,Hagenbrunner Straße 32
1848 -1918,21,Hagenbrunner Straße 32 A
nach 1945,21,Hagenbrunner Straße 34
nach 1945,21,Hagenbrunner Straße 35
vor 1848,21,Hagenbrunner Straße 36
vor 1848,21,Hagenbrunner Straße 37
vor 1848,21,Hagenbrunner Straße 38
1848 -1918,21,Hagenbrunner Straße 26
nach 1945,21,Kammelweg 9
nach 1945,21,Kammelweg 11
1848 -1918,21,Obergfellplatz 1
nach 1945,21,Prager Straße 31 / 16
nach 1945,21,Prager Straße 31 / 15
nach 1945,21,Prager Straße 31 / 14
nach 1945,21,Prager Straße 31
1884-1918,21,Prager Straße 20
1848 -1918,21,Prager Straße 19
1848 -1918,21,Prager Straße 17
nach 1945,21,Prager Straße 16
nach 1945,21,Prager Straße 14 / 2
nach 1945,21,Prager Straße 14 / 1
1848 -1918,21,Prager Straße 13
nach 1945,21,Prager Straße 31 / 17
1848 -1918,21,Prager Straße 12 / 2
1848 -1918,21,Prager Straße 11
1848 -1918,21,Prager Straße 10
1919 - 1945,21,Prager Straße 9
1848 -1918,21,Prager Straße 8
1919 - 1945,21,Prager Straße 7
1848 -1918,21,Prager Straße 6
nach 1945,21,Prager Straße 5
1848 -1918,21,Prager Straße 4
1848 -1918,21,Prager Straße 2 / 1
1848 -1918,21,Prager Straße 1
1919 - 1945,21,Ferdinand-Pölz-Gasse 12
1848 -1918,21,Prager Straße 12 / 1
nach 1945,21,Ferdinand-Pölz-Gasse 8
nach 1945,21,Prager Straße 31 / 18
nach 1945,21,Prager Straße 31 / 11
1848 -1918,21,Obergfellplatz 2
1848 -1918,21,Obergfellplatz 3
1848 -1918,21,Obergfellplatz 4
1848 -1918,21,Obergfellplatz 5
1848 -1918,21,Obergfellplatz 6
1848 -1918,21,Obergfellplatz 7
1919 - 1945,21,Prager Straße 43 - 47 / 10
1919 - 1945,21,Prager Straße 43 - 47 / 9
1919 - 1945,21,Prager Straße 43 - 47 / 1
1848 -1918,21,Prager Straße 39
1848 -1918,21,Prager Straße 37
nach 1945,21,Prager Straße 31 / 10
1848 -1918,21,Prager Straße 33
